component_id,order_id,component_type,status,result_flag,start_date,end_date,vendor_ref,jurisdiction,source_system,attempts,last_error_code,escalation_level,sla_target_hours,tat_hours,aging_hours,evidence_uri,provenance_hash,last_updated_at,created_at
1,1,CRIM,COMPLETED,FOUND,2025-03-25 00:02:03.531315+05:30,2025-03-26 10:02:03.531315+05:30,,IN-DL,MANUAL,2,,0,24,34,,s3://evidence/1/crim_1665.pdf,73f6b33da58c5f5bd7a872e65e0db2b33d505f9c25b3d3f3d4f9b9e435c54f3a,2025-03-26 10:02:03.531315+05:30,2025-03-25 00:02:03.531315+05:30
2,1,DRUGTEST,COMPLETED,NOT_FOUND,2025-03-25 01:02:03.531315+05:30,2025-03-25 21:02:03.531315+05:30,V-932,,API,2,,1,24,20,,,,2025-03-25 21:02:03.531315+05:30,2025-03-25 01:02:03.531315+05:30
3,1,EDU,COMPLETED,FOUND,2025-03-24 23:02:03.531315+05:30,2025-03-25 17:02:03.531315+05:30,,,MANUAL,2,,0,24,18,,s3://evidence/1/edu_2262.pdf,39bc1a86c033268411cbafac5d98f9fe6f8ef0374af2679bdafbef86bb08415d,2025-03-25 17:02:03.531315+05:30,2025-03-24 23:02:03.531315+05:30
4,1,IDCHECK,COMPLETED,FOUND,2025-03-25 00:02:03.531315+05:30,2025-03-26 16:02:03.531315+05:30,V-967,,,3,,0,24,40,,s3://evidence/1/idcheck_1797.pdf,2ac65bd6762ee4f645c1ffb7a6824beaaf2abc7d77d2dd7e95ebac05c370ea67,2025-03-26 16:02:03.531315+05:30,2025-03-25 00:02:03.531315+05:30
5,1,MVR,COMPLETED,NA,2025-03-25 00:02:03.531315+05:30,2025-03-26 09:02:03.531315+05:30,V-834,IN-GJ,EXTSYS,3,,0,24,33,,,,2025-03-26 09:02:03.531315+05:30,2025-03-25 00:02:03.531315+05:30
6,1,REF,COMPLETED,NOT_FOUND,2025-03-25 01:02:03.531315+05:30,2025-03-25 23:02:03.531315+05:30,V-801,,API,3,,0,24,22,,,,2025-03-25 23:02:03.531315+05:30,2025-03-25 01:02:03.531315+05:30
11,3,CRIM,COMPLETED,FOUND,2025-03-25 17:59:03.531315+05:30,2025-03-26 06:59:03.531315+05:30,V-313,IN-KA,MANUAL,1,,0,24,13,,s3://evidence/3/crim_2612.pdf,c62eaba5fed09a49990faa353c64886951a2223177ea9ad80595cb9b76cb3be0,2025-03-26 06:59:03.531315+05:30,2025-03-25 17:59:03.531315+05:30
12,3,DRUGTEST,COMPLETED,NA,2025-03-25 17:59:03.531315+05:30,2025-03-27 07:59:03.531315+05:30,V-187,,MANUAL,1,,0,24,38,,,,2025-03-27 07:59:03.531315+05:30,2025-03-25 17:59:03.531315+05:30
13,3,EDU,COMPLETED,NA,2025-03-25 17:59:03.531315+05:30,2025-03-25 20:59:03.531315+05:30,,,API,3,,0,24,3,,,,2025-03-25 20:59:03.531315+05:30,2025-03-25 17:59:03.531315+05:30
14,3,IDCHECK,COMPLETED,NOT_FOUND,2025-03-25 21:59:03.531315+05:30,2025-03-27 05:59:03.531315+05:30,V-503,,EXTSYS,2,,0,24,32,,,,2025-03-27 05:59:03.531315+05:30,2025-03-25 21:59:03.531315+05:30
15,3,MVR,COMPLETED,FOUND,2025-03-25 17:59:03.531315+05:30,2025-03-27 06:59:03.531315+05:30,V-428,IN-DL,,1,,0,24,37,,s3://evidence/3/mvr_9898.pdf,dc6821f70efaaa723e229b3dfaef7dc5763ab64ebc5436a4885608eedcdda0a5,2025-03-27 06:59:03.531315+05:30,2025-03-25 17:59:03.531315+05:30
16,3,REF,COMPLETED,FOUND,2025-03-25 21:59:03.531315+05:30,2025-03-27 10:59:03.531315+05:30,,,MANUAL,2,,0,24,37,,s3://evidence/3/ref_7829.pdf,b1fff4f0344f4adb64ef386a0dc6adfe5a8423057ed7938c9f3558b650c76abe,2025-03-27 10:59:03.531315+05:30,2025-03-25 21:59:03.531315+05:30
17,4,CRIM,COMPLETED,NOT_FOUND,2025-03-25 15:28:03.531315+05:30,2025-03-27 06:28:03.531315+05:30,,IN-UP,,3,,1,24,39,,,,2025-03-27 06:28:03.531315+05:30,2025-03-25 15:28:03.531315+05:30
18,4,DRUGTEST,COMPLETED,NA,2025-03-25 15:28:03.531315+05:30,2025-03-26 05:28:03.531315+05:30,,,EXTSYS,3,,0,24,14,,,,2025-03-26 05:28:03.531315+05:30,2025-03-25 15:28:03.531315+05:30
19,4,EDU,COMPLETED,FOUND,2025-03-25 15:28:03.531315+05:30,2025-03-25 22:28:03.531315+05:30,,,,3,,1,24,7,,s3://evidence/4/edu_5453.pdf,370d51bfe34b8c31edb89d882e62a04d79e0b041ba95e8a7aca89b30ed94626b,2025-03-25 22:28:03.531315+05:30,2025-03-25 15:28:03.531315+05:30
20,4,IDCHECK,COMPLETED,NA,2025-03-25 18:28:03.531315+05:30,2025-03-26 19:28:03.531315+05:30,V-426,,,3,,0,24,25,,,,2025-03-26 19:28:03.531315+05:30,2025-03-25 18:28:03.531315+05:30
21,4,MVR,COMPLETED,NA,2025-03-25 15:28:03.531315+05:30,2025-03-26 07:28:03.531315+05:30,,IN-KA,EXTSYS,2,,1,24,16,,,,2025-03-26 07:28:03.531315+05:30,2025-03-25 15:28:03.531315+05:30
22,4,REF,COMPLETED,NA,2025-03-25 19:28:03.531315+05:30,2025-03-27 02:28:03.531315+05:30,,,EXTSYS,1,,1,24,31,,,,2025-03-27 02:28:03.531315+05:30,2025-03-25 19:28:03.531315+05:30
27,6,ADDRESS,COMPLETED,NOT_FOUND,2025-03-26 10:12:03.531315+05:30,2025-03-27 13:12:03.531315+05:30,V-386,IN-KA,MANUAL,2,,0,24,27,,,,2025-03-27 13:12:03.531315+05:30,2025-03-26 10:12:03.531315+05:30
28,6,CRIM,COMPLETED,NA,2025-03-26 14:12:03.531315+05:30,2025-03-27 10:12:03.531315+05:30,V-936,IN-KA,EXTSYS,1,,0,24,20,,,,2025-03-27 10:12:03.531315+05:30,2025-03-26 14:12:03.531315+05:30
29,6,IDCHECK,COMPLETED,FOUND,2025-03-26 13:12:03.531315+05:30,2025-03-27 08:12:03.531315+05:30,,,,1,,1,24,19,,s3://evidence/6/idcheck_7436.pdf,6bb8307552d4ec82f6d8de44ad8a61b4d19ac90b950a72f457d039cbd2538465,2025-03-27 08:12:03.531315+05:30,2025-03-26 13:12:03.531315+05:30
30,6,MVR,COMPLETED,NOT_FOUND,2025-03-26 12:12:03.531315+05:30,2025-03-26 15:12:03.531315+05:30,,IN-TN,MANUAL,1,,0,24,3,,,,2025-03-26 15:12:03.531315+05:30,2025-03-26 12:12:03.531315+05:30
31,7,ADDRESS,COMPLETED,NA,2025-03-28 02:44:03.531315+05:30,2025-03-29 13:44:03.531315+05:30,,IN-TN,,3,,0,24,35,,,,2025-03-29 13:44:03.531315+05:30,2025-03-28 02:44:03.531315+05:30
32,7,CRIM,COMPLETED,NOT_FOUND,2025-03-28 01:44:03.531315+05:30,2025-03-29 13:44:03.531315+05:30,V-357,IN-MH,,3,,0,24,36,,,,2025-03-29 13:44:03.531315+05:30,2025-03-28 01:44:03.531315+05:30
33,7,IDCHECK,COMPLETED,NA,2025-03-27 22:44:03.531315+05:30,2025-03-29 00:44:03.531315+05:30,V-856,,,1,,0,24,26,,,,2025-03-29 00:44:03.531315+05:30,2025-03-27 22:44:03.531315+05:30
34,7,MVR,COMPLETED,NOT_FOUND,2025-03-28 03:44:03.531315+05:30,2025-03-29 09:44:03.531315+05:30,,IN-DL,API,2,,0,24,30,,,,2025-03-29 09:44:03.531315+05:30,2025-03-28 03:44:03.531315+05:30
39,9,ADDRESS,CANCELLED,NOT_FOUND,2025-03-29 00:04:03.531315+05:30,2025-03-29 02:04:03.531315+05:30,,IN-MH,,3,,0,24,,,,,2025-03-29 02:04:03.531315+05:30,2025-03-29 00:04:03.531315+05:30
40,9,CRIM,CANCELLED,NOT_FOUND,2025-03-28 22:04:03.531315+05:30,2025-03-28 21:04:03.531315+05:30,V-170,IN-DL,MANUAL,2,,0,24,,,,,2025-03-28 21:04:03.531315+05:30,2025-03-28 22:04:03.531315+05:30
41,9,IDCHECK,CANCELLED,NOT_FOUND,2025-03-28 19:04:03.531315+05:30,2025-03-29 03:04:03.531315+05:30,V-810,,EXTSYS,2,,0,24,,,,,2025-03-29 03:04:03.531315+05:30,2025-03-28 19:04:03.531315+05:30
42,9,MVR,CANCELLED,NOT_FOUND,2025-03-28 23:04:03.531315+05:30,2025-03-28 21:04:03.531315+05:30,V-779,IN-DL,API,1,,1,24,,,,,2025-03-28 21:04:03.531315+05:30,2025-03-28 23:04:03.531315+05:30
43,10,CRIM,COMPLETED,NOT_FOUND,2025-03-28 16:30:03.531315+05:30,2025-03-29 01:30:03.531315+05:30,V-677,IN-KA,,1,,0,24,9,,,,2025-03-29 01:30:03.531315+05:30,2025-03-28 16:30:03.531315+05:30
44,10,DRUGTEST,COMPLETED,NA,2025-03-28 14:30:03.531315+05:30,2025-03-30 00:30:03.531315+05:30,V-674,,,2,,0,24,34,,,,2025-03-30 00:30:03.531315+05:30,2025-03-28 14:30:03.531315+05:30
45,10,EDU,COMPLETED,NA,2025-03-28 16:30:03.531315+05:30,2025-03-29 05:30:03.531315+05:30,,,MANUAL,1,,0,24,13,,,,2025-03-29 05:30:03.531315+05:30,2025-03-28 16:30:03.531315+05:30
46,10,IDCHECK,COMPLETED,NOT_FOUND,2025-03-28 17:30:03.531315+05:30,2025-03-29 09:30:03.531315+05:30,V-177,,,2,,1,24,16,,,,2025-03-29 09:30:03.531315+05:30,2025-03-28 17:30:03.531315+05:30
47,10,MVR,COMPLETED,FOUND,2025-03-28 15:30:03.531315+05:30,2025-03-29 08:30:03.531315+05:30,V-372,IN-MH,MANUAL,1,,0,24,17,,s3://evidence/10/mvr_8128.pdf,5fd7f269085a978d122d958ced4b53b4b9a034fd747a85d4212223d325e542d4,2025-03-29 08:30:03.531315+05:30,2025-03-28 15:30:03.531315+05:30
48,10,REF,COMPLETED,NA,2025-03-28 15:30:03.531315+05:30,2025-03-30 03:30:03.531315+05:30,,,MANUAL,2,,0,24,36,,,,2025-03-30 03:30:03.531315+05:30,2025-03-28 15:30:03.531315+05:30
53,12,CRIM,COMPLETED,FOUND,2025-03-29 17:32:03.531315+05:30,2025-03-30 12:32:03.531315+05:30,V-322,IN-MH,,3,,1,24,19,,s3://evidence/12/crim_9543.pdf,8ac9a85d459d0d1dec63b7020d218f5b7a37edc53e52ea1e27fe2f540723bcfa,2025-03-30 12:32:03.531315+05:30,2025-03-29 17:32:03.531315+05:30
54,12,DRUGTEST,COMPLETED,NOT_FOUND,2025-03-29 21:32:03.531315+05:30,2025-03-30 21:32:03.531315+05:30,,,EXTSYS,3,,0,24,24,,,,2025-03-30 21:32:03.531315+05:30,2025-03-29 21:32:03.531315+05:30
55,12,EDU,COMPLETED,NA,2025-03-29 17:32:03.531315+05:30,2025-03-30 09:32:03.531315+05:30,,,API,2,,0,24,16,,,,2025-03-30 09:32:03.531315+05:30,2025-03-29 17:32:03.531315+05:30
56,12,IDCHECK,COMPLETED,NA,2025-03-29 20:32:03.531315+05:30,2025-03-30 12:32:03.531315+05:30,,,EXTSYS,3,,0,24,16,,,,2025-03-30 12:32:03.531315+05:30,2025-03-29 20:32:03.531315+05:30
57,12,MVR,COMPLETED,FOUND,2025-03-29 18:32:03.531315+05:30,2025-03-30 19:32:03.531315+05:30,,IN-MH,,1,,0,24,25,,s3://evidence/12/mvr_5970.pdf,8e52b4f8a0b924cb40465c5432d01b2f1ea988a859a6e0879de443067bb1a828,2025-03-30 19:32:03.531315+05:30,2025-03-29 18:32:03.531315+05:30
58,12,REF,COMPLETED,NA,2025-03-29 19:32:03.531315+05:30,2025-03-30 00:32:03.531315+05:30,V-446,,,3,,1,24,5,,,,2025-03-30 00:32:03.531315+05:30,2025-03-29 19:32:03.531315+05:30
79,17,ADDRESS,COMPLETED,NA,2025-04-02 05:07:03.531315+05:30,2025-04-02 21:07:03.531315+05:30,,IN-KA,,2,,0,24,16,,,,2025-04-02 21:07:03.531315+05:30,2025-04-02 05:07:03.531315+05:30
80,17,CRIM,COMPLETED,NOT_FOUND,2025-04-02 03:07:03.531315+05:30,2025-04-03 10:07:03.531315+05:30,,IN-KA,API,3,,1,24,31,,,,2025-04-03 10:07:03.531315+05:30,2025-04-02 03:07:03.531315+05:30
81,17,IDCHECK,COMPLETED,NA,2025-04-02 00:07:03.531315+05:30,2025-04-02 21:07:03.531315+05:30,,,EXTSYS,1,,0,24,21,,,,2025-04-02 21:07:03.531315+05:30,2025-04-02 00:07:03.531315+05:30
82,17,MVR,COMPLETED,FOUND,2025-04-02 04:07:03.531315+05:30,2025-04-03 04:07:03.531315+05:30,V-731,IN-TN,,2,,0,24,24,,s3://evidence/17/mvr_3612.pdf,87f3cb3ef42bec54a47e1ade33dcf327f5fa82a28acc4115e0d3746a14c52892,2025-04-03 04:07:03.531315+05:30,2025-04-02 04:07:03.531315+05:30
89,19,ADDRESS,COMPLETED,NOT_FOUND,2025-04-01 23:49:03.531315+05:30,2025-04-03 10:49:03.531315+05:30,V-933,IN-KA,API,3,,0,24,35,,,,2025-04-03 10:49:03.531315+05:30,2025-04-01 23:49:03.531315+05:30
90,19,CRIM,COMPLETED,NA,2025-04-02 01:49:03.531315+05:30,2025-04-03 01:49:03.531315+05:30,,IN-TN,MANUAL,1,,1,24,24,,,,2025-04-03 01:49:03.531315+05:30,2025-04-02 01:49:03.531315+05:30
91,19,IDCHECK,COMPLETED,NOT_FOUND,2025-04-02 01:49:03.531315+05:30,2025-04-02 14:49:03.531315+05:30,V-140,,,1,,1,24,13,,,,2025-04-02 14:49:03.531315+05:30,2025-04-02 01:49:03.531315+05:30
92,19,MVR,COMPLETED,NOT_FOUND,2025-04-02 04:49:03.531315+05:30,2025-04-03 11:49:03.531315+05:30,V-776,IN-UP,MANUAL,3,,0,24,31,,,,2025-04-03 11:49:03.531315+05:30,2025-04-02 04:49:03.531315+05:30
93,20,CRIM,COMPLETED,NOT_FOUND,2025-04-03 18:36:03.531315+05:30,2025-04-03 21:36:03.531315+05:30,,IN-DL,EXTSYS,3,,1,24,3,,,,2025-04-03 21:36:03.531315+05:30,2025-04-03 18:36:03.531315+05:30
94,20,DRUGTEST,COMPLETED,NA,2025-04-03 19:36:03.531315+05:30,2025-04-05 02:36:03.531315+05:30,,,MANUAL,1,,0,24,31,,,,2025-04-05 02:36:03.531315+05:30,2025-04-03 19:36:03.531315+05:30
95,20,EDU,COMPLETED,FOUND,2025-04-03 20:36:03.531315+05:30,2025-04-05 03:36:03.531315+05:30,,,MANUAL,2,,0,24,31,,s3://evidence/20/edu_6035.pdf,4d8d64c7700bf2a43300d94a25bf28f073ba7e87260af87500185ae5d2bdf172,2025-04-05 03:36:03.531315+05:30,2025-04-03 20:36:03.531315+05:30
96,20,IDCHECK,COMPLETED,NOT_FOUND,2025-04-03 21:36:03.531315+05:30,2025-04-03 23:36:03.531315+05:30,V-751,,API,2,,0,24,2,,,,2025-04-03 23:36:03.531315+05:30,2025-04-03 21:36:03.531315+05:30
97,20,MVR,COMPLETED,NOT_FOUND,2025-04-03 16:36:03.531315+05:30,2025-04-05 02:36:03.531315+05:30,,IN-UP,MANUAL,1,,0,24,34,,,,2025-04-05 02:36:03.531315+05:30,2025-04-03 16:36:03.531315+05:30
98,20,REF,COMPLETED,NA,2025-04-03 17:36:03.531315+05:30,2025-04-05 07:36:03.531315+05:30,,,API,1,,0,24,38,,,,2025-04-05 07:36:03.531315+05:30,2025-04-03 17:36:03.531315+05:30
99,21,CRIM,COMPLETED,NA,2025-04-03 00:03:03.531315+05:30,2025-04-04 19:03:03.531315+05:30,V-224,IN-TN,MANUAL,3,,0,24,43,,,,2025-04-04 19:03:03.531315+05:30,2025-04-03 00:03:03.531315+05:30
100,21,DRUGTEST,COMPLETED,NA,2025-04-02 21:03:03.531315+05:30,2025-04-04 15:03:03.531315+05:30,,,,1,,1,24,42,,,,2025-04-04 15:03:03.531315+05:30,2025-04-02 21:03:03.531315+05:30
101,21,EDU,COMPLETED,NA,2025-04-03 02:03:03.531315+05:30,2025-04-03 11:03:03.531315+05:30,V-839,,EXTSYS,3,,1,24,9,,,,2025-04-03 11:03:03.531315+05:30,2025-04-03 02:03:03.531315+05:30
102,21,IDCHECK,COMPLETED,FOUND,2025-04-02 22:03:03.531315+05:30,2025-04-04 01:03:03.531315+05:30,,,EXTSYS,2,,0,24,27,,s3://evidence/21/idcheck_5151.pdf,83e6c374a7df25a9148ca12432acb784ba2ed063dcc0979c857443a57f524653,2025-04-04 01:03:03.531315+05:30,2025-04-02 22:03:03.531315+05:30
103,21,MVR,COMPLETED,NOT_FOUND,2025-04-03 01:03:03.531315+05:30,2025-04-04 19:03:03.531315+05:30,V-371,IN-TN,API,1,,1,24,42,,,,2025-04-04 19:03:03.531315+05:30,2025-04-03 01:03:03.531315+05:30
